,polarity,text
1688,negative,"@JumiaKenya Hi. I made an order a month ago, still waiting for delivery and there has been no communication whatsoever. Kindly get back"
281,neutral,@JumiaKenya can i use my drivinh licence to collect my parcel..
1502,negative,@JumiaKenya I hav been expecting my item order no:306333366 that you promised to ship in by 19th July in vain.Can I know what's the problem?
329,neutral,306272476
619,neutral,where exactly.. at Embu??
444,neutral,@JumiaKenya hello..A link I can follow to view and buy HP desk-jet printers from please?
1172,neutral,Order ID: 305632586
571,neutral,@JumiaKenya where is your office
536,negative,Its been two days already... since tuesday
1698,negative,"@JumiaKenya my order no:#303719286, I have not yet received the product:mini wireless bluetooth 4.0 stereo in-earphone-Black. Please assit"
1609,negative,why make payment and it still has its warranty
307,neutral,"@JumiaKenya ,hello,at what price are 32 and 24-inch skyworth Tvs retailing."
1504,neutral,iyo ndula ni bazenga
173,negative,@JumiaKenya So I bought a gadget that isn't working and now y'all telling me that I can't return?? So. Disappointed in you
609,neutral,302647286
69,neutral,@JumiaKenya I wanna Order the Infinix Note 4 to be delivered within town.
486,negative,I think there is a problem with your tracking system. Its still showing its en route and no feed back was given
1112,negative,I am not surprised that the 48 hours bado hazijaisha. I am very dissapointed
1581,negative,"@JumiaKenya Hello Jumia, am kindly asking to know the status of this order 307264286. It's now 10 days since the order was made."
708,negative,I made the order based on the previous delivery. I may seek cancellation if it goes beyond tomorrow.
1358,neutral,14999
1738,negative,@JumiaKenya Refund my money back to my money wallet I don't need a voucher.Order no: 303461486
1718,neutral,0707288077
1202,neutral,Alright
409,negative,Nyinyi kwanza mlikataa kuniuzia jacket
1216,neutral,Will i be given another one?
1471,negative,"@JumiaKenya this was on your website a few days ago, but it's no more! What happened? pic.twitter.com/m6niVAbzRr"
1285,neutral,What do u mean you are purely an online store? I understand you business model but where in mombasa can I see o of your representatives?
184,neutral,All the above
1499,neutral,@JumiaKenya : hey do you guys still have the Xtigi vision 6 phones? We can't spot them in your website
1453,negative,@jumia you are the most horrible company ave ever come across and I pray no other customer will ever experience what ave gone through
301,neutral,"thankyou,,,,but would you still take those days to deliver to Kitengela?"
326,negative,@JumiaKenya hello. Have a wrong product delivered how do i return
1278,negative,No reply as of today.
1020,neutral,@JumiaKenya Paid for an order using MPESA but used equity account..Help..?
100,neutral,#302576976
675,neutral,@JumiaKenya please call 0716575105
1195,neutral,@JumiaKenya alcatel pixi 3hw much does it go for?
730,neutral,@JumiaKenya are there any other colour for the Tecno Camon CX 5'5?
1706,negative,"It's so frustrating to wait for a confirmed order, then one week later you are told was out of stock. How come it was posted on your site."
1422,neutral,@JumiaKenya when shld we expect delivery? #309192486
355,neutral,"@JumiaKenya is it possible to get X-TIGI MC10 - Solar Home Lighting System - Black,i want 1 unit."
391,negative,@JumiaKenya why would anyone pay 200/- to pick an item that costs 149/-
1454,neutral,Thank but i am waiting for the feedback today.
1593,neutral,Moooved
564,positive,@JumiaKenya I salute http:// Ms.Gift for the awesome customer care service. She's the best. She solved my issue fastest. Thank you
1181,neutral,@JumiaKenya I had placed an order and it was cancelled because I did not complete payment. I'm I not supposed to pay on pick up? Check DM
252,negative,@JumiaKenya and the call is paid for yet you dont pick
981,negative,cancel the entire order if u cant have all four items i dnt want none of them refund my cash
668,neutral,@JumiaKenya Can I purchase something I need right now from you?If you have a stall in Nairobi CBD please give me directions
141,negative,Covers are only found I need aphone
189,neutral,The attached screenshot is the exact device pic.twitter.com/ctZdnF5ame
1002,neutral,I don't have the machine right now I will send the pictures in the evening.
1809,negative,ofcourse it all of them I just lost 1000 Bob coz I know no matter the amount of PR you are trying to portray you won't take it back
585,neutral,"@jumiakenya hyo order yangu kumeenda aje, any updates so far, kindly"
1238,neutral,@JumiaKenya when should I expect this item ORDER N.° 302157686 pic.twitter.com/SpEzGtHbfT
921,neutral,@JumiaKenya Please shed some light at what stage my order no.308333786 a smart watch is.
1600,negative,even the name u cant access?
714,neutral,Thanks
1638,neutral,So how much longer will I have to wait?
163,negative,I'm buying a memory card + phone. pickup station is Kampus mall CBD. Why are you charging me ksh 300 for shipping these small items.?
1036,neutral,@JumiaKenya can you guarantee order 304189586 will be delivered by tomorrow? If I have to wait til 10 Aug I'd rather just cancel now
1631,neutral,@JumiaKenya how do i cancel an order please??
45,negative,@JumiaKenya #303685996 the phone wont go past this.. direct accordingly pic.twitter.com/kSuMtnRktb
1730,negative,Well up to now they haven't. Why am I suffering for the inefficiencies of your suppliers?
481,negative,@JumiaKenya do you not have pick up stations for Laikipia? Nanyuki in particular. pic.twitter.com/ehjqjgdku9
586,neutral,Gift potential customers like me as motivation token
72,neutral,@JumiaKenya infinix hot 5 is how much?
646,negative,"They have taken longer than expected this is now the second week, what's wrong?"
1535,neutral,@JumiaKenya check order No. 303698296 https:// twitter.com/jumiakenya/sta tus/890126629665742848 …
1552,neutral,@JumiaKenya There's only one pickup station in the drop-down list and its in Meru.... pic.twitter.com/d1wc2Dbjam
452,neutral,I get that... . Just wondering which of the items is an issue. I could maybe leave them out
689,neutral,I have successfully ordered a cubot rainbow and paid via mpesa so upon delivery should i have the transaction code or what??
954,neutral,"@JumiaKenya I'm looking for this foundation,will I get it and if so for how much please? pic.twitter.com/fFe56bJjmE"
798,negative,I never got the refund! Kindly check on your end or send me the MPESA reference number.
1413,negative,Acheni hizo one week ishapita
1332,neutral,@JumiaKenya ADA-309229886-NI7 #309229886 please advise.
1726,neutral,How long should I wait now?
75,negative,"ive received it,but i cant buy the same stuff at the price i'd bought for and some are not even there.Jumia you have really disappointed me!"
964,neutral,Myself and i
454,positive,"Thanks ^GS. 1more thing. Of the 4 items, 3 have 3-6 days for delivery & 1 has 3-19 days. Means I'll get all'o them after 19 days? Same order"
101,negative,"@JumiaKenya Hi, How do i cancel an order?"
856,neutral,@JumiaKenya how much do you charge as transportation fee out of Nairobi
1447,negative,Am tired of apologies if it doesn't arrive today I'll jus cancel it
437,negative,"@JumiaKenya hey, you guys gave me an apology voucher, I ordered for a watch with it and the order got cancelled. I need to know why."
501,positive,"Hello, thank you but it has all been sorted out! Thx"
534,neutral,That's the first thing I did
347,negative,hey what is the status of the item i ordered its been almost a week
1710,neutral,Any time;even at midnight
305,neutral,"@JumiaKenya hey guys, do you have nokia 6?"
851,neutral,@JumiaKenya order's been cancelled from your end..way forward?
1209,neutral,Noted.
882,positive,Thanks very much. I appreciate your help.
1054,neutral,301258786 ..
1010,neutral,Thank you
969,negative,@JumiaKenya can someone please give me a call. Its pointless to follow the prompts on the phone just to be kept waiting and then hung up on.
885,negative,@JumiaKenya Please don't fail me. This is the second time I'm placing this order pic.twitter.com/y4sOWVKCr3
1149,neutral,"@JumiaKenya helo, i have just ordred 4 lenovo a6010 plus, used paypall inset of empesa, kindly help"
345,neutral,@JumiaKenya What is the price of Tecno W5 lite?
688,neutral,Will I be double billed?
1174,neutral,"@JumiaKenya I am not in a position to receive my order today, the order no is 301715786, But I would request it delivered tomorrow."
257,negative,"@JumiaKenya now that my order 302157686 was cancelled less than a week after I received your message, refund me with the same urgency"
108,neutral,@JumiaKenya What's the ETA on 301461676
1740,negative,@JumiaKenya still have a problem with accessing the voucher and placing the order. Kindly cancel order number 302656986
1012,neutral,See DM
1715,neutral,@JumiaKenya hey i was wondering how one can link up with you for affiliate marketing please help
1541,neutral,please share now
665,neutral,I've no idea where there care center is located
736,negative,@JumiaKenya i bought a phone 4 months ago on your premise and now it has started misbehaving part of the screen is not responding what do i
1516,negative,@JumiaKenya hello am trying to place an order with no success please help
1414,negative,@JumiaKenya Order number 304684986 being shipped to Athi River is taking too long..
1548,neutral,BEAN BAG CHAIR INTEX Air Round Sofa - Orange & Black Seller: HomeStoreKE
373,neutral,@JumiaKenya Hi People am following up on order #305176276 whats the status?
1598,neutral,@JumiaKenya tell them to fix it
331,negative,Some item were not available and hence couldn't accept part delivery.
213,neutral,@JumiaKenya .hae I'm just near kaka house and I hope I can receive my order tomorrow please.
487,positive,thank you
1639,neutral,See you soon
678,neutral,@JumiaKenya Reply please https:// twitter.com/Githuuri/statu s/897402079911849984 …
222,neutral,@JumiaKenya Do I pay on or before delivery
791,negative,i regret buying anything on this site have made payments for item that came and you dont want to deliver
1266,neutral,1 out of stock item(s) in your order 305277886 were cancelled. We apologize for the inconvenience and will call you shortly for assistance
907,neutral,@JumiaKenya I am in kisumu now how do i get my package ?
244,positive,So next week? Okay. Thanks
340,neutral,@JumiaKenya what's your paybill number
1663,negative,@JumiaKenya Let your delivery guys have some courtesy.Want to track my order too.
98,neutral,Something of this sort pic.twitter.com/XwIKl2ppH6
1328,neutral,305486686
1170,negative,cant proceeed past *proceed to checkout* whats up with my account
591,negative,"Its a local item(hometheatre), i have the order no check dm. Yo gave me 1-4 days, today is the fourth day."
1634,neutral,Typically how long will this take?
1729,neutral,"Hallo Jumia, I had paid upfront for this stuff and by bad luck, I have deleted the txt msg for iPAY. I hope on delivery day no problem."
506,neutral,ill tty en see
916,negative,"@JumiaKenya trying to call, put on hold for 15 minutes... is there another number I can call CS??? My refund is 3 weeks overdue"
1807,negative,@JumiaKenya My cousin ordered for two phones from Jumia but two months down the line they have never bn delivered. Y? Cc @KenMayienga
1215,neutral,Or i Change it to brown?
915,negative,"@JumiaKenya Hello! I need an update on order #309144186 , please"
1339,negative,@JumiaKenya Kindly check for me Order #302668686 the phone has a charging problem
764,neutral,U tried calling me.what was the info u intended to pass through?
113,negative,"Am talking about availability, last week I waited 5 days only to be told that it was out of stock"
1248,neutral,"@JumiaKenya I give up. Order 309857366. I request a cancelation, provided I will still be able to use the voucher I had previously used."
397,neutral,2
1049,negative,@JumiaKenya How far is my refund? Still waiting.
1591,neutral,Thanks
1193,neutral,@JumiaKenya
21,neutral,"Where is it located,?"
1378,positive,"I have been assisted already by your customer care, thanks for the effort."
1347,neutral,Electronics
288,neutral,Am in kisii how soon can get this
654,neutral,I bought a hotwav v17.. I've returned it to the service centre immediately it was brought.. I've taken it today..
1245,negative,I can very confidently state that nobody contacted me with regards to cancelation
858,neutral,Thank you
900,negative,@jumiaKenya My order no is 308891886. You are taking long to deliver the product why !!!!!!
7,negative,I have tried its doesn't proceed to check out
1236,neutral,@JumiaKenya Hey...308694786. Kindly deliver this today without fail
1319,neutral,SONY MH-EX300AP - Earphones - Black Ultra OTG - Dual USB 3.0 Drive - 64GB - Black SANDISK Ultra OTG - Dual USB 3.0 Drive - 64GB - Black
1655,negative,That is what I am saying I did not receive
1484,negative,You're number's not working i need to make an important order Don't paste your link here please Call 0727855347
612,positive,thank you so much
837,positive,Apologies accepted
995,neutral,Nakuru but I'm traveling to lodwar tomorrow
624,negative,@JumiaKenya hi made an order but recieved only one item of 2. 307139386
187,negative,so it can't receive any smart channels?
1629,positive,My order is through
1136,neutral,@JumiaKenya When is next jumia black Friday
374,negative,"Well that rare delivery happened to me and I gave up following up for a return and it was local, so you understand my fear right?"
1703,neutral,I thought you indicated 3-6dayd on the item?
1429,negative,@JumiaKenya why are you guys ignoring my tweets???
722,negative,@JumiaKenya MUST I PAY FIRST BEFORE DELIVERY OF A PRODUCT?
192,negative,"@JumiaKenya Are all purchases to be prepaid? I have attempted to buy 3 items,despite being local delivery Nairobi & cost 3K all are prepaid"
494,neutral,Hello who pays for the delivery please?
1402,negative,@JumiaKenya my order number 307979286 is taking like forever. Can I cancel it and get my money back?
365,positive,Thanks
282,neutral,"Hi, did the manufacturer recall the product to have a firmware upgrade or what happened ?"
997,neutral,Like contact so as I seek them...
237,negative,Trying to get intouch with you guys but all in vein
396,negative,"@JumiaKenya Good Morning, is there a criteria whereby Prepaid Orders are mismanaged 301489386 has not been delivered even the local items"
1759,neutral,"hello, its monday.. have you guys resolved my issue"
493,neutral,"Ok thanks, what about my pick up no ? Or should i provide my order number upon arrival ?"
146,neutral,na mie nko sotik si mniwekee uko nko next to town
650,negative,@JumiaKenya placed an order 4 days ago bit no communication from u guys..should I assume u don't have the item and buy elsewhere? 307852386
388,neutral,6
1019,negative,@JumiaKenya good morning..order number..308426686 not recieved
1653,positive,Got it already
1496,negative,"Order fulfilment excites me, but you are clearly incapable of it! pic.twitter.com/GiKvrBVaj8"
1597,neutral,payments why?
570,neutral,Huku ni wapi please elaborate further?
194,positive,ok thanks
1438,neutral,@JumiaKenya do you vacancies in ur IT department?
1473,neutral,"@JumiaKenya Hi, I ordered a phone yesterday and i urgently need it. can i get it today? order number 303436886"
790,negative,@jumiakenya you should be sincere with your deliveries if at all you would like to win trust of many customers.
521,negative,@JumiaKenya Hello Kindly what is happening to my order #302668686 which was returned on 29/07/17. till now nothing has happened
8,negative,I can't use it
1656,neutral,@JumiaKenya is my order 302389986 still in progress when do i expect the delivery?
1071,negative,@JumiaKenya Jumia am greatly disappointed by your customers support..
1270,negative,They why sell products u can't share seller details
40,neutral,305743676
1117,neutral,"@JumiaKenya Good afternoon, wanted to know whether I can still collect the following order, CBDP-302981686-34L"
1102,neutral,@JumiaKenya can one pay using bonga points?
726,neutral,When i reorder Narok is not among the shipping list location kindly let customer care call me
1481,negative,Save it.
1107,neutral,@JumiaKenya Kindly reach me on 0724267863 ASAP!!! Thank you.
1664,neutral,Here they are pic.twitter.com/9Ruih1odGI
1344,negative,@JumiaKenya . Are your services bad as the one I've recently experienced? The iPad toy you delivered is broken and I can't reach you!!
1652,neutral,Sawa
1289,neutral,can i get the supplier detail?
926,neutral,That means paying in physical CASH in exchange for your physical goods delivered
1217,negative,"I spoke to one of your agents earlier and they were to call back after 20 mins,Its now over 3 hrs!!"
1489,negative,@jumiakenya am most frustrated customer. Can you look at order no. 309866686 and get back to me soonest
1004,neutral,304882786
785,negative,@JumiaKenya nimechoka kungoja pic.twitter.com/ySvY7xPDRh
1731,negative,309489296
565,negative,"I would like to confirm that I was sent a refund voucher. But I want money, I don't want a refund voucher. You can mpesa."
343,negative,@JumiaKenya hi you just delivered a blender that has a cracked jag.I gave it back to your rider after paying.when will I get a new one?
389,neutral,Please share the details requested ^Jamo
1145,neutral,Thanks and 305883486?
593,neutral,@JumiaKenya see DM
1550,neutral,@JumiaKenya i need to cancel an order and order other items
1612,neutral,How about in Eldoret? Which place exactly?
983,negative,@JumiaKenya if y'all r going to cancel an order u cancel the entire of it nd refund my cash entirely not half nkt pic.twitter.com/BPfHtyd4jI
1022,negative,@JumiaKenya the package I received does not correspond to what I ordered on the web. I would like to return it and be refunded.
499,negative,@jumiakenya Its 7 days since I ordered a laptop order number 301726386. It hasn't been delivered yet it had been indicated as 1-4 days
1342,negative,"@JumiaKenya Hi, I had returned a package and I have just received it back a few hrs ago. It still has the same issue."
1009,negative,"The laptop on the order 301715786, the specs on the web are different from what I received. e.g. Ethernet port is not present"
1553,neutral,"Okay, thanks"
165,negative,@JumiaKenya How much to ship an item to juja kiambu. Your system seems to have inconsistencies.
1737,neutral,When? Can I come to your office!
549,negative,@JumiaKenya I contacted you a week ago about order #306362986 . You said I'll get the products by today. I still haven't gotten anything.
1259,positive,Thanks for the info
402,neutral,"@JumiaKenya here it is 306457286. 18th JULY . Your RETURN policies say I have 2wks ,but I have a 1yr warranty PLEASE HELP"
366,negative,@JumiaKenya cancel order #309916276
322,negative,And the plot thickens so now either i take the phone or loose my money.. @InfinixKenya pic.twitter.com/nJxzCQUBw2
110,negative,And we might consider shifting shop
1456,neutral,I have sent a DM with the information kindly confirm receipt.
1207,,
1264,negative,@JumiaKenya A concerned customer seeking clarification before confirming an order: the price of each item and how they add up to the total pic.twitter.com/eTxF9rpsTJ
779,negative,@JumiaKenya I bought PS3 controller at your outlet but in a week time its keypads started hanging .. Can I return it and get a replace?
1427,positive,"@JumiaKenya Thank you Jumia, I've received my parcel..However,improve on ua communication..It arrived on the 21st...Cheers 4 honesty though."
1486,neutral,"@JumiaKenya hi, how soon can I receive my order (308144886). Need to travel to vote out uhuru. 8/8"
1466,negative,@JumiaKenya I need a way forward. Am tired and remember no communication from them.
732,negative,"@jumiakenya I already placed an order, my worry is that its taking 2 long to b delivered yet Ipayed in advance order ID number 301726386."
550,positive,ok thanks
15,negative,placed an order 305657976 of two items but only one has been delivered.amount recorded on the sheet is lesser than what I paid.
41,neutral,"@JumiaKenya Hi,I placed an order for a mobile phone on Saturday and it said that delivery would be within 1-2 days on prepayment.Any update?"
1059,neutral,"Alright, thank you. I wanted to order a phone. Please tell me how to go about it..."
513,neutral,@JumiaKenya #308977476 kindly confirm the order
1312,negative,Order 307813686. The thing is broken and it doesn't help it if I change the batteries with fresh ones.
121,negative,Can I get help please the call center has no options for to interact with humans!!!!??????
1338,neutral,@JumiaKenya I need to buy a certain item but looks delivery is a few days. Can I get the contacts to the supplier?
342,neutral,I have not picked an order. Why I'm I receiving text? Is there possibility that someone else just picked?
1297,neutral,"Am i getting this package or what?---->#309143696.Apparently your rider took it to Ngong road last Friday,what is the status now?"
130,negative,Ooh so who's fault is it that a one month old iPhone suddenly died? Why should I pay you for selling me a reject?
1648,neutral,thanks i will be patient
1115,neutral,@JumiaKenya so the pay on delivery option no longer available?
975,neutral,302634986. Ilikubali but inatake time kuleta mpesa menu....
1273,neutral,I have DMd you my phone number....
1032,neutral,Okay hope delivery will be successful. I'll have to cancel & seek elsewhere any item undelivered by end of day tomorrow
1704,neutral,My phone is on.Is this order 309743686 ready?When can i pick it up?
918,negative,"@JumiaKenya , what is the state of this (Your Jumia Order 302295886 - item(s) have been shipped) delivery. Your guys ain't answering my email"
840,neutral,"Yes, earlier today! Thanks!"
683,neutral,"Alright ,thanks."
1125,neutral,It's 307999586
1283,neutral,@JumiaKenya hii smart wristband ya 50mAh... Battery life yake ni how long?
878,negative,@JumiaKenya kindly cancel order 304189586. Had hoped to receive it last week and when that failed I opted to source the items from elsewhere
1075,neutral,@JumiaKenya confirm for me order no 307596586.
22,neutral,Can you instead give me the PS4 for free guys?
1781,positive,Awesome
518,negative,@jumiaKenya My order no is 308891886. You are taking long to deliver the product why! it is now 20 days .... since I ordered.
291,negative,@JumiaKenya when did this increase happen? I've saved up with the previous price in mind only to be disappointed upon visiting the site! pic.twitter.com/pyoMeAylet
820,negative,@JumiaKenya I don't need that subwoofer am angry with you cancel that order
846,negative,@JumiaKenya #301673186 am trying to reach you but all I hear is music. Can you please advise me when my order will be delivered.
817,negative,@JumiaKenya even to reply a tweet it takes you a whole month just like the order I placed
276,neutral,my friend need to order a vision plus tv...are they in stock? and can he order it right away
1606,negative,its been 3 months and now is the time you guys are telling me to visit the service centre??.
330,neutral,hey how much is Huawei p9 lite
919,neutral,"@JumiaKenya , Hi Hannington, your order 306332586 has been confirmed! When should I expect delivery? Or should I reorder?"
594,negative,"@JumiaKenya my local order is reaching 6 days tomorrow and i haven't received any notification on delivery,what's not right?"
592,neutral,@JumiaKenya kindly check wether m order is successful LHG5VS7GK3 Infinix ht4lite
877,negative,The item was cancelled on 25th July. What are you telling me...waiting cancellation?! In fact you NW responded to me here abt the same. Nkt
1418,negative,"@JumiaKenya where is this order, its already 21 days 303713796"
1400,negative,"On 26th July i got my order, inakuja bila USB cable ????? Thanks for the life bouy soap."
1349,negative,@JumiaKenya how do you supply a product destined for UAE yet you claim you cannot replace for one that works http:// here.style up! https:// twitter.com/JumiaKenya/sta tus/890479968261730304 …
1434,neutral,my order no.30
1795,negative,And what was this text intended to mean... Was it it just PR stuff or what? pic.twitter.com/xp8hvV1j89
1720,negative,I just need clear timeline and constant update. How can I be patient if you keep me in the dark?
575,neutral,@JumiaKenya What happened to order 309311686
1316,neutral,In Nyahururu theres a post office but its not appearing on your website. Can it be delivered there?
1042,neutral,@JumiaKenya I ordered a package and it might be delivered next week. I'll not be available to pick it. Tracking No. 305815586-UHF
629,negative,@Jumiakenya it's the 5th business day since i made O.N 3025631860. What the status ?
299,neutral,My order no. is 301671886. @InfinixKenya
200,negative,@JumiaKenya I wantto confirm again myorder 302611986will be delivered in msa(addres burooj auto spares opposite royal court )not nrb.replyme
467,positive,"Delivered, Thank you"
1168,negative,"@JumiaKenya I bought an item 2 weeks ago and paid for it. Until now it has never been delivered. If you have conned me, let's me know ASAP"
1007,neutral,the installed OS is windows not Ubuntu.
1455,neutral,two different riders called one with iron box and another with blow dryer
542,neutral,I want to make an order
960,negative,Like Baobab is 12k a night max. 5 days is 60k. You guys are quoting 107k. :-O
31,negative,"My order numbers are 305272496 and 304742596. You can also check my emails, my address is imran@primefuels.com"
1748,neutral,@JumiaKenya kindly confirm if this order has been cancelled 304312986
1767,neutral,"Order #309897686 21/07/17 Total KSh 1,600 plz tell when will I get it."
1318,neutral,these two items.
826,negative,"@JumiaKenya ,mr jakson makori is to delivery my items#306351###,TODAY 11/08/2017,YET ITS NOT YET DELIVERED,I HATE THIS INCONVINIENCIES"
438,negative,"when I try switching off data on the device it pops back on, I have even tried setting it off in the setup guide to no avail."
1029,neutral,Where is the pick up location?
1742,negative,@JumiaKenya cancel order 304275286 for me. Your delivery sucks nowadays. It's being shipped frm Thursday.. or they are using a wheelbarrow..
140,neutral,Thanks I have recieved 2 of the 4 items.still waiting for the other items.
468,negative,@JumiaKenya It's more than 48hrs and I'm yet to get my money back!!!
1027,negative,@JumiaKenya Order no ADA-308385586-G38 was supposed to be delivered today but wasn't .. what happened ?
126,neutral,@JumiaKenya ..kindly find me on 0719818562 concerning order number 305913676
1143,neutral,@JumiaKenya Hi. I'd like to cancel an order I made earlier today. Would you please help?
203,negative,"To me, it seems that you, @JumiaKenya , have malformed a post and intended to tweet “item that [you] are purchasing” instead."
842,negative,Good morning order 302611986 any update coz I need fon my work has stopped please pick my call .or reply me back. Waiting for your reply
899,negative,Yes do cancel
356,negative,i have the same phone X Gigi v 10 ..and am having lots of problem using it Like its hanging a lot the music player has a problem
860,negative,"Hi, 'm still waiting"
1038,neutral,Thank you
1408,negative,"@JumiaKenya I have been trying to contact your customer service to inquire about an order, you are not picking up.Its urgent."
1088,negative,"Your responses sucks CM HASTEN, ESCALATE BLA BLA BLA..... which is the next rhetoric and terminology tomorrow? I need my money back period"
1739,negative,@JumiaKenya kindly check on order no 306154686.I ordered and paid for two goods but only one has been delivered.
1487,negative,@JumiaKenya good morning. I ordered speakers which were rightfully delivered. However after connection I realised one speaker is faulty.
1421,positive,"Seen, asante..."
1383,negative,@JumiaKenya you promised to repair my phone within 10 working days. It's 15 days now and no news on my phone
1538,neutral,Was contacted earlier today confirming delivery will be afternoon.. Kindly confirm with the your delivery agent how far he is
111,negative,"Otherwise, we, customers will feel cheated once we have already made payments for items that are not in your stores."
272,neutral,"I said so because i have ordered items worth over ksh. 80,000 from my history. To be awarded from the competitions is no sureity ."
822,negative,@JumiaKenya I paid the screen early mrng but still cant get the help from you?
475,neutral,"LHH7W7U4I1 Confirmed. Ksh4,500.00 sent to JOHN ITHARUNI 0723334065 on 17/8/17 at 4:24 PM. New M-PESA balance is Ksh..."
1403,neutral,"@JumiaKenya I wanna buy SDCard,Toshiba? Am stationed here at Nairobi,and I want it today. Will it be possible?"
1727,neutral,309375696 +736176236
1279,positive,Thank you so much
1166,neutral,305242686
78,negative,and the CS guy i spoke to on 22/8 conveniently forgot to mention this right!!i've been following up on this order n no one bothered 2update
316,negative,"@JumiaKenya what next after you cancelled my order despite having paid on thursday,not happy at all"
211,negative,@JumiaKenya Order no 302668686 was it checked? repaired? why return it the way it was with no explanation?
3,neutral,@JumiaKenya hey can I use bonga points to buy a product?
540,positive,Thank you kind regards
1470,neutral,"yes, somebody has but right now am at work but as soon as I test it correctly I'll let you guys know. Thank you."
796,negative,@JumiaKenya I have sent u the details ..can u get it Leo??
1596,neutral,Kindly my Hotwav V15 cracked and I cant get the fundi to repair. In your stores can I be helped?
1802,neutral,0727842484 purity muthoni
346,neutral,306981386
1006,negative,@JumiaKenya I modified my order and wished it delivered today.been trying to call and agents aren't answering.what's up?
1410,neutral,"@JumiaKenya whats the status of this -> #309143696,i was told it will take 15-19 http:// days.Today is the 19th day."
1062,neutral,can i have the riders numbers ???
1152,negative,"@JumiaKenya I got an SMS your package has arrived at our CBD-Fleet and will be attempted for delivery within the next 24 hours.where is it?"""
1104,neutral,how do i know if its a global item?
1575,negative,"@JumiaKenya I am trying to reset my password,but the email has not come through, kindly assist. email: antoapiyo412@gmail.com"
604,neutral,How long will it take ?
67,negative,Order number 305572676 in package ADA-305572676-964. I sent an email on the same but no response
884,negative,@JumiaKenya Your policy states that a refund should take place within a maximum of 14 days. What happened to mine? Order no. 309743686
1070,negative,@JumiaKenya I might have gone loss for thinking you are better than other online stores.. But you might Regret this one..
218,neutral,@JumiaKenya hey i would like to be alerted via sms when my package arrives in nakuru. dont have a phone currently...order no 309776676.
1040,neutral,308342486
891,neutral,how much longer?
74,neutral,kindly if I want it to get in kitengela where would I receive it?
1026,neutral,any updates on this??
1134,negative,@JumiaKenya http:// hey.you delivered a faulty DTA cable.please help let me know if I can return it for a functional one
73,negative,@JumiaKenya I placed an order last week and only opened up today to see its expiry date is June. What to do? A disappointed regular shopper.
