text,polarity
"Not only did the software do a great job of this, I could also make my own ringtones form my existing CDs without an internet connection.",positive
im surprised this is a good quality car charger and there's not much reviews about it.,positive
These are fabulous!,positive
I used bitpim (a free program you can find on the internet)to transfer data to the phone.The price of the cable was excellent.,positive
Very wind-resistant.,positive
"They do not last forever, but is not overly expensive to replace.Easy to operate and the sound is much better than others I have tried.",positive
Phone is sturdy as all nokia bar phones are.,positive
Great phone.,positive
I'm pleased.,positive
I found the product to be easy to set up and use.,positive
"No ear loop needed, it's tiny and the sound is great.",positive
"The handsfree part works fine, but then the car tries to download the address book, and the Treo reboots.Overall, I still rate this device high.",positive
I'm happy about this purchase- good quality and low price.,positive
I love the look and feel of Samsung flipphones.,positive
Its well-designed and very sharp -- the blue is a very nice color.,positive
Does everything it should and more.,positive
Nice Sound.,positive
Much less than the jawbone I was going to replace it with.,positive
Setup went very smoothly.,positive
"It is well made, easy to access the phone and has a handy, detachable belt clip.",positive
"It works fine on my Motorola 325 cellphone, and a lot better than the worn-out battery did.",positive
The volume for the ringer is REAL good (you have choices how loud).,positive
I love the ringtones because they are so upbeat!,positive
Easy to pair with my Samsung Cell.,positive
Works well.,positive
Clear crisp sound.,positive
"I have to use the smallest earpieces provided, but it stays on pretty well.",positive
The phone can also take great pictures and even video clips.,positive
"Because both ears are occupied, background is not distracting at all.",positive
"Comfortable fit - you need your headset to be comfortable for at least an hour at a time, if not for an entire day.",positive
You can't beat the price on these.,positive
"* Comes with a strong light that you can use to light up your camera shots, and even flash SOS signals (seriously!",positive
lightweight and works well.,positive
I love this cable - it allows me to connect any mini-USB device to my PC.,positive
This is cool because most cases are just open there allowing the screen to get all scratched up.,positive
Appears to actually outperform the original battery from China that came with my V325i.,positive
"jabra ear gels ""R"" the best!.",positive
"It quit working after I'd used it for about 18 months, so I just purchased another one because this is the best headset I've ever owned.",positive
It was a great phone.,positive
"Good value, works fine - power via USB, car, or wall outlet.",positive
My phone doesn't slide around my car now and the grip prevents my phone from slipping out of my hand.,positive
This is simply the BEST bluetooth headset for sound quality!,positive
"In the span of an hour, I had two people exclaim ""Whoa - is that the new phone on TV?!?",positive
I have always used corded headsets and the freedom from the wireless is very helpful.,positive
"This case has passed the one year mark and while it shows signs of wear, it is 100% functional.",positive
"Other than that, the leather is nice and soft; the fit is very tight; the cut out for the face is a good shape.",positive
It has everything I need and I couldn't ask for more.,positive
This product is great... it makes working a lot easier I can go to the copier while waiting on hold for something.,positive
T-Mobile has the best customer service anywhere.,positive
Arrived quickly and much less expensive than others being sold.,positive
"Provides good protection and looks classy, too.",positive
Krussel Always good.,positive
"The tracfonewebsite is user friendly and makes it easy toactivate, etc.",positive
The design is very good.4.,positive
I great reception all the time.,positive
I would highly recommend this product.,positive
Fantastic buy and will get again for whatever my next phone is,positive
This BlueAnt Supertooth hands-free phone speaker is AWESOME.,positive
.... Item arrived quickly and works great with my Metro PCS Samsung SCH-r450 slider phone and Sony Premium Sound in ear plugs.,positive
"It is light, has plenty of battery capacity, and is very confortable to wear for somewhat extended periods of time.",positive
Blue Ant is easy to use.,positive
Cheap but hey it works.. Was pleasantly suprised given the low cost of this item.,positive
It's very convenient and simple to use - gets job done & makes the car ride so much smoother.,positive
The sound quality is excellent as well.,positive
Its the best headset I have used.,positive
They have been around for years and carries the highest quality of anti-glare screen protector that I have found to date.,positive
Just what I wanted.,positive
Great product.,positive
Crisp and Clear.,positive
The reception has been generally good.,positive
"Excellent sound, battery life and inconspicuous to boot!.",positive
Great bluetooth!.,positive
I highly recommend this case.,positive
WORTHWHILE.,positive
This is a great deal.,positive
It is simple to use and I like it.,positive
"It's a great tool for entertainment, communication, and data management.Oh, be sure to use ActiveSync 4.2 for optimal data synchronization results!",positive
I own 2 of these cases and would order another.,positive
Great Phone.,positive
I bought this battery with a coupon from Amazon and I'm very happy with my purchase.,positive
Perfect for the PS3.,positive
"Five star Plus, plus.",positive
A good quality bargain.. I bought this after I bought a cheapy from Big Lots that sounded awful and people on the other end couldn't hear me.,positive
"Good , works fine.",positive
For the price this was a great deal.,positive
"Great price, too!",positive
Yes it's shiny on front side - and I love it!,positive
The reception through this headset is excellent.,positive
2 thumbs up to this seller,positive
"I have a Verizon LG phone and they work well together, good reception and range that exceeds 20 feet line of sight.",positive
#1 It Works - #2 It is Comfortable.,positive
Battery charge-life is quite long.,positive
The Jabra EarGels fit my ears very well.,positive
Product is exactly as described.,positive
Gets a signal when other Verizon phones won't.,positive
I would recommend it.,positive
Plan on ordering from them again and again.,positive
"That being said, for a phone, the camera is very nice; many cool effects to play with, and video is decent as well.",positive
I have been very satisfied with this cell phone from day one.,positive
They keep getting better and better (this is my third one and I've had numerous Palms too).,positive
The shipping time was also very quick!,positive
Good case!.,positive
Really good product.,positive
It looks very nice.,positive
"This is an excellent tool, especially when paired with your phone's auto-answer.",positive
I have read other's reviews here but I haven't had any problem with it.,positive
Comfortable in my hand.,positive
(It works!),positive
So far it has worked like a charm.,positive
"I have only had it for a few weeks, but so far, so good.",positive
"But, in any case, the best part is, you can download these pictures to your laptop using IR, or even send pictures from your laptop to the phone.",positive
Would recommend this item.,positive
It's been my choice headset for years.Great sound; good volume; good noise cancellation.,positive
"Nice case, feels good in your hands.",positive
"Just really good.. So far, probably the best BT headset I have ever had.",positive
Works fine.,positive
I received my headset in good time and was happy with it.,positive
I was very pleased to see that I could replace my well travled swivel holster for my Blackberry flip.,positive
My sister has one also and she loves it.,positive
Good Quality.,positive
Excellent dual-purpose headset.,positive
Excellent!.,positive
"It seems completely secure, both holding on to my belt, and keeping the iPhone inside.",positive
The only good thing was that it fits comfortably on small ears.,positive
"I am pairing this with my iphone, and I could not be happier with it so far.",positive
Best headset ever!!!.,positive
It was that loud.Glad to say that the Plantronics 510 maintains a flawless connection to my cell and with no static during normal use.,positive
"Fits comfortably, came with three sizes of earbud tips.",positive
Excellent product for the price.,positive
It was quite comfortable in the ear.,positive
Great phone.,positive
The pairing of the two devices was so easy it barely took a couple minutes before I started making calls with the voice dialing feature.,positive
The cutouts and buttons are placed perfectly.,positive
I love being able to use one headset for both by land-line and cell.,positive
"But despite these few flaws, this case is of exceptional quality and well worth the additional costs of owning an official OEM product.",positive
"I can hear while I'm driving in the car, and usually don't even have to put it on it's loudest setting.",positive
Seller shipped quickly and much cheaper than the competitors.,positive
"Good show, Samsung.",positive
So I bought about 10 of these and saved alot of money.,positive
Leopard Print is wonderfully wild!.,positive
Works for me.,positive
much better than the hard plastic cases.,positive
Happy so far!.,positive
cool phone.,positive
Works good.,positive
Motorola finally got the voice quality of a bluetooth headset right.,positive
"but it is great, i would really recommend it",positive
"You get extra minutes so that you can carry out the call and not get cut off.""",positive
The headset fulfills my requirements so I am happy with my purchase.,positive
Logitech Bluetooth Headset is a 10!.,positive
"I like the fact that it rests lightly against your ear, rather than inside.",positive
A lot of websites have been rating this a very good phone and so do I.,positive
I have tried these cables with my computer and my iPod and it works just fine.,positive
It is easy to turn on and off when you are in the car and the volume controls are quite accessable.,positive
I have had mine for about a year and this Christmas I bought some for the rest of the family.,positive
"Otherwise, easy to install and use, clear sound.",positive
nice leather.,positive
It is a joy to use.,positive
Very satisifed with that.,positive
This is the phone to get for 2005.... I just bought my S710a and all I can say is WOW!,positive
Just reading on the specs alone makes you say WOW.,positive
Love it.. Great armband.,positive
I really like this product over the Motorola because it is allot clearer on the ear piece and the mic.,positive
I exchanged the sony ericson z500a for this and I'm pretty happy with that decision.,positive
I was very impressed with the price of the cases.,positive
Also makes it easier to hold on to.,positive
"I use this product in a motor control center where there is a lot of high voltage humming from the equipment, and it works great!",positive
It's pretty easy.,positive
Beautiful styling though.,positive
Excellent product.,positive
It is the best charger I have seen on the market yet.,positive
SWEETEST PHONE!!!,positive
":-)Oh, the charger seems to work fine.",positive
It fits so securely that the ear hook does not even need to be used and the sound is better directed through your ear canal.,positive
